receive 56 signal | time now: 27.425536632537842 | total fee now: 59
receive 56 signal | time now: 27.64291501045227 | total fee now: 59
receive 56 signal | time now: 27.971433401107788 | total fee now: 59
receive 57 signal | time now: 28.193286418914795 | total fee now: 59
receive 58 signal | time now: 28.413177490234375 | total fee now: 59
receive 58 signal | time now: 28.74284529685974 | total fee now: 66
receive 59 signal | time now: 28.961583614349365 | total fee now: 66
receive 59 signal | time now: 29.178232431411743 | total fee now: 66
receive 59 signal | time now: 29.507445335388184 | total fee now: 66
receive 60 signal | time now: 29.729175806045532 | total fee now: 66
receive 61 signal | time now: 29.947518825531006 | total fee now: 66
receive 62 signal | time now: 30.16743278503418 | total fee now: 66
receive 63 signal | time now: 30.494892597198486 | total fee now: 66
receive 63 signal | time now: 30.713563919067383 | total fee now: 66
receive 63 signal | time now: 30.932994604110718 | total fee now: 66
receive 64 signal | time now: 31.259425401687622 | total fee now: 66
receive 64 signal | time now: 31.480965614318848 | total fee now: 66
receive 65 signal | time now: 31.700212717056274 | total fee now: 66
receive 66 signal | time now: 32.027228355407715 | total fee now: 66
receive 67 signal | time now: 32.2462956905365 | total fee now: 74
receive 68 signal | time now: 32.46711826324463 | total fee now: 74
receive 69 signal | time now: 32.791438817977905 | total fee now: 74
receive 70 signal | time now: 33.01061511039734 | total fee now: 74
receive 71 signal | time now: 33.22857427597046 | total fee now: 74
receive 71 signal | time now: 33.44554877281189 | total fee now: 74
receive 72 signal | time now: 33.773361682891846 | total fee now: 74
receive 72 signal | time now: 33.99653887748718 | total fee now: 74
1657175711.458286-----1657175745.6747131------34.21642708778381
